id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012,num_establishments_2007,value_x1000_2007,payroll_x1000_2007,num_employees_2007,num_establishments_2002,value_x1000_2002,payroll_x1000_2002,num_employees_2002
144,33243,"Metal can, box, and other metal container (light gauge) manufacturing",51,83874,14671,701,7,50563,3501,151,13,82052,11506,431,14,n/d,n/d,n/d
145,3326,Spring and wire product manufacturing,51,83874,14671,701,3,1764,284,32,6,5329,767,62,3,6841,995,99
146,3327,"Machine shops; turned product; and screw, nut, and bolt manufacturing",51,83874,14671,701,29,12765,3103,168,35,54553,13279,675,35,24265,5608,427
147,33271,Machine shops,51,83874,14671,701,16,2870,730,66,15,3215,841,67,11,4017,739,62
148,33272,"Turned product and screw, nut, and bolt manufacturing",51,83874,14671,701,13,9895,2374,103,20,51338,12438,607,24,20248,4869,365
149,3328,"Coating, engraving, heat treating, and allied activities",51,83874,14671,701,7,15871,3622,164,12,16941,3977,195,15,23699,5839,376
150,3329,Other fabricated metal product manufacturing,51,83874,14671,701,31,110318,14609,742,39,155213,17247,853,31,71149,12774,977
151,333,Machinery manufacturing,51,83874,14671,701,41,734124,64937,2426,45,355071,33062,1200,42,284538,30918,1697
152,3333,Commercial and service industry machinery manufacturing,51,83874,14671,701,6,10869,1414,92,6,6516,655,32,4,4742,750,32
153,3334,"Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing",51,83874,14671,701,13,n/d,n/d,n/d,16,289015,24362,825,15,n/d,n/d,n/d
154,3335,Metalworking machinery manufacturing,51,83874,14671,701,12,21907,2910,189,14,20935,2339,145,15,51739,10675,707
155,3339,Other general purpose machinery manufacturing,51,83874,14671,701,9,296911,47626,1506,6,38232,5584,184,3,n/d,n/d,n/d
156,334,Computer and electronic product manufacturing,51,83874,14671,701,30,1426791,124618,3442,36,4611076,208573,6235,49,2288076,282068,10905
157,3344,Semiconductor and other electronic component manufacturing,51,83874,14671,701,5,434214,14677,804,9,1356346,48667,1562,24,1554464,177192,6382
158,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",51,83874,14671,701,16,343403,58803,1800,12,790160,46140,1959,11,250422,29509,1296
159,335,"Electrical equipment, appliance, and component manufacturing",51,83874,14671,701,35,1226859,126829,4121,41,1115786,138164,6062,41,1100588,155024,7084
160,3351,Electric lighting equipment manufacturing,51,83874,14671,701,8,120887,9149,395,8,128465,17101,759,6,n/d,n/d,n/d
161,3353,Electrical equipment manufacturing,51,83874,14671,701,20,1006920,101359,3087,26,834279,97894,4246,29,846763,118727,5258
162,336,Transportation equipment manufacturing,51,83874,14671,701,16,19921,4035,226,21,175395,39474,1342,19,138842,25813,1646
163,3362,Motor vehicle body and trailer manufacturing,51,83874,14671,701,2,n/d,n/d,n/d,3,1524,319,25,1,n/d,n/d,n/d
164,3363,Motor vehicle parts manufacturing,51,83874,14671,701,8,13538,3011,186,13,85573,10963,451,13,124116,23021,1463
165,3366,Ship and boat building,51,83874,14671,701,4,834,136,n/d,3,2142,463,29,4,n/d,n/d,n/d
166,337,Furniture and related product manufacturing,51,83874,14671,701,81,110048,19216,1265,184,167664,32267,2334,183,131619,28635,2784
