id,naics_code,code_description,num_establishments_2017,value_x1000_2017,payroll_x1000_2017,num_employees_2017,num_establishments_2012,value_x1000_2012,payroll_x1000_2012,num_employees_2012
238,3379,Other furniture related product manufacturing,15,35073,5259,203,12,15957,2066,135
239,33791,Mattress manufacturing,14,34993,5244,202,n/d,n/d,n/d,n/d
240,339,Miscellaneous manufacturing,126,12764902,704054,17244,109,9085080,565682,16467
241,3391,Medical equipment and supplies manufacturing,82,12605175,676710,16725,70,8832408,537679,15666
242,33911,Medical equipment and supplies manufacturing,82,12605175,676710,16725,70,8832408,537679,15666
243,3399,Other miscellaneous manufacturing,44,159727,27345,519,39,252672,28004,802
244,33991,Jewelry and silverware manufacturing,4,410,65,3,5,6892,1401,60
245,33993,"Doll, toy, and game manufacturing",n/d,n/d,n/d,n/d,2,n/d,n/d,n/d
246,33994,Office supplies (except paper) manufacturing,3,n/d,n/d,n/d,5,571,162,15
247,33995,Sign manufacturing,30,36106,6171,298,21,38720,8637,401
248,33999,All other miscellaneous manufacturing,6,n/d,n/d,n/d,n/d,n/d,n/d,n/d
249,42,Wholesale trade,1958,19110386,1114254,31255,1988,20184374,1120124,31462
250,423,"Merchant wholesalers, durable goods",1072,5087222,422841,12516,1052,6047202,429682,11963
251,4231,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,125,1875913,57468,1823,112,1336264,48346,1605
252,42311,Automobile and other motor vehicle merchant wholesalers,16,1288315,19064,384,13,1062682,21431,414
253,42312,Motor vehicle supplies and new parts merchant wholesalers,61,474740,28140,972,61,162089,17418,755
254,42313,Tire and tube merchant wholesalers,33,88724,7858,376,25,93801,8031,358
255,42314,Motor vehicle parts (used) merchant wholesalers,15,24134,2406,92,13,17690,1465,78
256,4232,Furniture and home furnishing merchant wholesalers,43,76365,10724,442,47,62195,8772,380
257,42321,Furniture merchant wholesalers,24,38951,4543,179,26,38763,4398,191
258,42322,Home furnishing merchant wholesalers,19,37414,6181,264,21,23432,4373,189
259,4233,Lumber and other construction materials merchant wholesalers,62,140377,12745,542,64,142795,16173,600
260,42331,"Lumber, plywood, millwork, and wood panel merchant wholesalers",17,67604,4251,166,16,44127,4937,170
261,42332,"Brick, stone, and related construction material merchant wholesalers",16,10157,1222,66,25,36850,5041,217
262,42333,"Roofing, siding, and insulation material merchant wholesalers",4,6375,555,12,n/d,n/d,n/d,n/d
263,42339,Other construction material merchant wholesalers,25,56243,6718,298,20,59117,6081,210
264,4234,Professional and commercial equipment and supplies merchant wholesalers,231,1191328,155371,3796,215,2463563,159870,3077
265,42341,Photographic equipment and supplies merchant wholesalers,n/d,n/d,n/d,n/d,2,n/d,n/d,n/d
266,42342,Office equipment merchant wholesalers,31,73395,15025,375,36,84634,18690,516
267,42343,Computer and computer peripheral equipment and software merchant wholesalers,25,213728,24422,342,21,205601,29117,330
268,42344,Other commercial equipment merchant wholesalers,34,175874,8114,313,31,35435,5644,198
269,42345,"Medical, dental, and hospital equipment and supplies merchant wholesalers",104,651955,94479,2339,102,2023515,89996,1606
270,42346,Ophthalmic goods merchant wholesalers,9,15555,3021,78,6,n/d,n/d,n/d
271,42349,Other professional equipment and supplies merchant wholesalers,26,55012,9464,322,17,56705,9391,301
272,4235,Metal and mineral (except petroleum) merchant wholesalers,30,142989,15567,583,25,87411,14291,546
273,42351,Metal service centers and other metal merchant wholesalers,28,142560,15451,578,22,85879,14018,531
274,4236,Household appliances and electrical and electronic goods merchant wholesalers,132,385662,44634,1255,135,523380,49381,1326
275,42361,"Electrical apparatus and equipment, wiring supplies, and related equipment merchant wholesalers",75,253039,24954,694,76,238216,24447,684
276,42362,"Household appliances, electric housewares, and consumer electronics merchant wholesalers",15,80952,6402,172,17,122836,11702,332
277,42369,Other electronic parts and equipment merchant wholesalers,42,51670,13278,388,42,162327,13231,310
278,4237,"Hardware, plumbing and heating equipment and supplies merchant wholesalers",146,482614,49760,1534,137,369076,54997,1462
279,42371,Hardware merchant wholesalers,67,163139,16367,557,70,186339,21848,831
280,42372,Plumbing and heating equipment and supplies (hydronics) merchant wholesalers,27,84140,7420,332,26,84387,5704,236
281,42373,Warm air heating and air-conditioning equipment and supplies merchant wholesalers,40,200498,21411,521,32,79928,25429,335
282,42374,Refrigeration equipment and supplies merchant wholesalers,12,34838,4561,123,9,18421,2013,59
283,4238,"Machinery, equipment, and supplies merchant wholesalers",160,486793,56630,1614,175,836114,53580,1813
284,42381,Construction and mining (except oil well) machinery and equipment merchant wholesalers,23,104090,12157,391,33,110512,13527,467
285,42382,Farm and garden machinery and equipment merchant wholesalers,10,26419,2255,89,13,n/d,n/d,n/d
286,42383,Industrial machinery and equipment merchant wholesalers,61,149336,23738,625,69,143952,23955,769
287,42384,Industrial supplies merchant wholesalers,48,162485,14832,341,35,87915,10214,319
288,42385,Service establishment equipment and supplies merchant wholesalers,15,38797,3292,156,20,27239,2740,157
289,42386,Transportation equipment and supplies (except motor vehicle) merchant wholesalers,3,5665,356,12,5,1904,278,n/d
290,4239,Miscellaneous durable goods merchant wholesalers,143,305182,19943,927,142,226406,24271,1152
291,42391,Sporting and recreational goods and supplies merchant wholesalers,23,27608,3984,157,22,32647,4054,151
292,42392,Toy and hobby goods and supplies merchant wholesalers,19,19221,3002,119,14,15940,1906,96
293,42393,Recyclable material merchant wholesalers,43,215809,7192,348,27,77689,4382,235
294,42394,"Jewelry, watch, precious stone, and precious metal merchant wholesalers",20,13140,1933,119,38,63012,7447,360
295,42399,Other miscellaneous durable goods merchant wholesalers,38,29404,3832,183,41,37117,6482,310
296,424,"Merchant wholesalers, nondurable goods",814,13987523,682711,18357,855,14102611,681252,19200
297,4241,Paper and paper product merchant wholesalers,62,296203,24246,837,68,348818,31914,1029
298,42411,Printing and writing paper merchant wholesalers,7,48985,3436,100,n/d,n/d,n/d,n/d
299,42412,Stationery and office supplies merchant wholesalers,28,62456,6906,402,n/d,n/d,n/d,n/d
300,42413,Industrial and personal service paper merchant wholesalers,27,184762,13905,335,n/d,n/d,n/d,n/d
301,4242,Drugs and druggists' sundries merchant wholesalers,97,2519054,149336,2862,110,3064263,187962,3785
302,42421,Drugs and druggists' sundries merchant wholesalers,97,2519054,149336,2862,n/d,n/d,n/d,n/d
